pair,x,y,z,w,dwdq1,dwdq2,dwdq3
395, 0.000,0.200,0.500,0.250,-0.000,-15.000,-37.500
396, 0.000,0.200,0.500,0.050,-0.000,-2.132,-5.330
397, 0.000,0.200,0.500,0.250,-0.000,-15.000,-37.500
398, 0.000,0.200,0.500,0.005,-0.000,-0.167,-0.417
399, 0.000,0.200,0.500,0.050,-0.000,-2.132,-5.330
400, 0.000,0.200,0.500,0.250,-0.000,-15.000,-37.500
401, 0.000,0.200,0.500,0.050,-0.000,-2.132,-5.330
402, 0.000,0.200,0.500,0.050,-0.000,-2.132,-5.330
403, 0.000,0.200,0.500,0.005,-0.000,-0.167,-0.417
404, 0.000,0.200,0.600,0.050,-0.000,-2.132,-6.396
405, 0.000,0.200,0.600,0.005,-0.000,-0.167,-0.500
